opeid,name,address,city,state,state_desc,zipcode,zipcode_ext,school_type_code,school_type_desc,year_1,year_1_borrowers_in_default,year_1_borrowers_in_repay,year_1_default_rate,year_2,year_2_borrowers_in_default,year_2_borrowers_in_repay,year_2_default_rate,year_3,year_3_borrowers_in_default,year_3_borrowers_in_repay,year_3_default_rate
21598,"COSMETOLOGY CAREERS UNLIMITED COLLEGE OF HAIR, SKIN, AND NAILS ",2534 E. BELTLINE,HIBBING,MN,MINNESOTA,55746,1734,3,PrivateForProfit,2013,18,73,24.6,2012,17,72,23.6,2011,8,30,26.6
9600,"COSMETOLOGY CAREERS UNLIMITED COLLEGE OF HAIR, SKIN, AND NAILS ",121 WEST SUPERIOR STREET,DULUTH,MN,MINNESOTA,55802,2031,3,PrivateForProfit,2013,22,110,20,2012,10,40,25,2011,6,41,14.6
38324,COSMETOLOGY SCHOOL OF ARTS AND SCIENCES,529 OVERLAND AVENUE,BURLEY,ID,IDAHO,83318,1327,3,PrivateForProfit,2013,8,31,25.8,2012,12,42,28.5,2011,12,34,35.2
25485,COSMETOLOGY TRAINING CENTER,2516 JOHNSTON STREET,LAFAYETTE,LA,LOUISIANA,70503,3238,3,PrivateForProfit,2013,4,42,9.5,2012,5,49,10.2,2011,8,53,15
41634,COSMO BEAUTY ACADEMY,3500 FULTON AVENUE,SACRAMENTO,CA,CALIFORNIA,95821,1904,3,PrivateForProfit,2013,22,68,32.3,2012,10,59,16.9,2011,4,13,30.7
41715,COSMOPOLITAN BEAUTY & TECH SCHOOL,"4201 JOHN MARR DRIVE, SUITE 206 ",ANNANDALE,VA,VIRGINIA,22003,3204,3,PrivateForProfit,2013,2,36,5.5,2012,0,14,0,2011,0,0,0
7536,COSUMNES RIVER COLLEGE,8401 CENTER PARKWAY,SACRAMENTO,CA,CALIFORNIA,95823,5799,1,Public,2013,106,573,18.4,2012,122,488,25,2011,71,362,19.6
2458,COTTEY COLLEGE,1000 WEST AUSTIN,NEVADA,MO,MISSOURI,64772,2790,2,PrivateNonProfit,2013,10,124,8,2012,10,128,7.8,2011,16,136,11.7
7729,COUNTY COLLEGE OF MORRIS,214 CENTER GROVE ROAD,RANDOLPH,NJ,NEW JERSEY,7869,2086,1,Public,2013,67,853,7.8,2012,84,823,10.2,2011,94,751,12.5
21192,COURT REPORTING INSTITUTE OF ST LOUIS,7730 CARONDELET AVENUE SUITE 400,CLAYTON,MO,MISSOURI,63105,3329,3,PrivateForProfit,2013,44,340,12.9,2012,46,429,10.7,2011,45,503,8.9
3484,COVENANT COLLEGE,14049 SCENIC HIGHWAY,LOOKOUT MOUNTAIN,GA,GEORGIA,30750,4164,2,PrivateNonProfit,2013,8,295,2.7,2012,13,353,3.6,2011,12,360,3.3
6612,COVENANT SCHOOL OF NURSING AND ALLIED HEALTH,1919 FRANKFORD AVENUE,LUBBOCK,TX,TEXAS,79407,120,2,PrivateNonProfit,2013,4,108,3.7,2012,4,109,3.6,2011,4,114,3.5
4707,COVENANT THEOLOGICAL SEMINARY,12330 CONWAY ROAD,SAINT LOUIS,MO,MISSOURI,63141,8609,2,PrivateNonProfit,2013,1,96,1,2012,3,113,2.6,2011,3,89,3.3
1902,COWLEY COUNTY COMMUNITY COLLEGE & AREA VOCATIONAL TECHNICAL SCHOO,125 SOUTH SECOND STREET,ARKANSAS CITY,KS,KANSAS,67005,2662,1,Public,2013,132,1395,9.4,2012,100,1199,8.3,2011,122,1072,11.3
7549,COYNE COLLEGE,330 NORTH GREEN STREET,CHICAGO,IL,ILLINOIS,60607,1300,3,PrivateForProfit,2013,121,750,16.1,2012,133,905,14.6,2011,191,834,22.9
41350,COZMO THE SCHOOL,10347 BONITA BEACH ROAD SE UNIT 103,BONITA SPRINGS,FL,FLORIDA,34135,4810,3,PrivateForProfit,2013,6,50,12,2012,8,63,12.6,2011,10,72,13.8
24948,CR'U INSTITUTE OF COSMETOLOGY AND BARBERING,11889 VALLEY VIEW STREET SUITE C,GARDEN GROVE,CA,CALIFORNIA,92845,4321,3,PrivateForProfit,2013,28,66,42.4,2012,15,45,33.3,2011,9,40,22.5
