DEPARTURE_DATETIME,AIRLINE,DAY_OF_WEEK,DISTANCE,AIR_TIME,TAXI_IN,TAXI_OUT,DEPARTURE_DELAY
2015-01-07 19:53:00,OO,3,481,80.0,4.0,14.0,-3.0
2015-01-07 20:38:00,DL,3,226,39.0,9.0,18.0,-2.0
2015-01-07 20:48:00,MQ,3,135,25.0,5.0,14.0,103.0
2015-01-08 06:53:00,WN,4,356,61.0,7.0,9.0,18.0
2015-01-08 07:16:00,US,4,168,40.0,16.0,8.0,1.0
2015-01-08 07:20:00,DL,4,404,71.0,18.0,13.0,0.0
2015-01-08 07:25:00,MQ,4,280,46.0,19.0,22.0,0.0
2015-01-08 08:00:00,WN,4,372,58.0,5.0,15.0,-5.0
2015-01-08 08:37:00,EV,4,463,72.0,13.0,12.0,1.0
2015-01-08 10:18:00,AA,4,1438,189.0,3.0,13.0,-2.0
2015-01-08 10:26:00,AS,4,689,101.0,6.0,19.0,-14.0
2015-01-08 10:28:00,WN,4,528,79.0,4.0,19.0,-2.0
2015-01-08 11:03:00,DL,4,581,78.0,9.0,15.0,3.0
2015-01-08 11:22:00,EV,4,140,32.0,8.0,12.0,0.0
2015-01-08 11:47:00,OO,4,86,26.0,3.0,15.0,2.0
2015-01-08 11:50:00,DL,4,1306,221.0,5.0,10.0,-5.0
2015-01-08 12:23:00,AA,4,1514,197.0,41.0,16.0,6.0
2015-01-08 12:32:00,WN,4,1390,179.0,13.0,7.0,7.0
2015-01-08 12:51:00,MQ,4,737,104.0,8.0,69.0,34.0
2015-01-08 13:20:00,B6,4,1189,145.0,4.0,10.0,10.0
2015-01-08 14:18:00,WN,4,663,91.0,4.0,8.0,13.0
2015-01-08 15:31:00,AS,4,987,136.0,6.0,11.0,6.0
2015-01-08 15:48:00,UA,4,1846,251.0,6.0,22.0,172.0
2015-01-08 15:48:00,UA,4,1050,129.0,5.0,44.0,376.0
2015-01-08 16:02:00,US,4,399,64.0,5.0,21.0,32.0
